clip,participant,recording,start_frame,gaze_valid_frac,hand_valid_frac,mse_real,condition,rel_last,rel_full,mse,d_mse
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,hand_swap,0.09702540934085846,0.0760270208120346,0.7385554313659668,0.0037708282470703125
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,hand_mask,0.17898499965667725,0.11476112902164459,0.7475228309631348,0.012738227844238281
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,hand_shuffle_time,0.0886463075876236,0.07501524686813354,0.7419068217277527,0.007122218608856201
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,both_mask,0.2288036048412323,0.1185564324259758,0.7541177272796631,0.0193331241607666
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,gaze_yaw_1deg,0.009011665359139442,0.00780711742118001,0.7347478270530701,-3.6776065826416016e-05
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,gaze_yaw_2deg,0.011092772707343102,0.013897690922021866,0.7347346544265747,-4.9948692321777344e-05
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,gaze_yaw_5deg,0.028282921761274338,0.02571919374167919,0.7349372506141663,0.0001526474952697754
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,gaze_yaw_10deg,0.061093319207429886,0.04517177864909172,0.735663890838623,0.0008792877197265625
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,gaze_yaw_20deg,0.11422532051801682,0.059642307460308075,0.7388900518417358,0.0041054487228393555
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,gaze_yaw_45deg,0.19814956188201904,0.08609160780906677,0.7490260004997253,0.014241397380828857
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,video_swap,0.7816799283027649,0.7700598835945129,0.9020977020263672,0.1673130989074707
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,real,0.0,0.0,0.5188772082328796,0.0
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,identity,0.0,0.0,0.5188772082328796,0.0
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,gaze_swap,0.0956905260682106,0.07713981717824936,0.5204799175262451,0.0016027092933654785
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,gaze_mask,0.17154578864574432,0.09133179485797882,0.5319622159004211,0.013085007667541504
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,gaze_zero,0.2030925452709198,0.11852449923753738,0.5377165079116821,0.01883929967880249
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,gaze_shuffle_time,0.055057939141988754,0.04721831530332565,0.5193494558334351,0.0004722476005554199
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,hand_swap,0.14199838042259216,0.10899703949689865,0.5191750526428223,0.00029784440994262695
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,hand_mask,0.10616328567266464,0.10196077078580856,0.5223608016967773,0.003483593463897705
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,hand_shuffle_time,0.05108479782938957,0.06132224574685097,0.5203326940536499,0.0014554858207702637
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,both_mask,0.11274529993534088,0.10665480047464371,0.5220494866371155,0.00317227840423584
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,gaze_yaw_1deg,0.004234022460877895,0.0031833213288336992,0.5190861225128174,0.00020891427993774414
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,gaze_yaw_2deg,0.015655718743801117,0.010248793289065361,0.5192523002624512,0.0003750920295715332
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,gaze_yaw_5deg,0.02851286716759205,0.01968313381075859,0.520494282245636,0.0016170740127563477
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,gaze_yaw_10deg,0.05045010894536972,0.03404922038316727,0.5221537947654724,0.0032765865325927734
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,gaze_yaw_20deg,0.11729440838098526,0.06156809628009796,0.527285635471344,0.008408427238464355
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,gaze_yaw_45deg,0.19305437803268433,0.10110078006982803,0.5378102660179138,0.01893305778503418
10,P08,P08-20240613-122900,3441,1.0,1.0,0.5188772082328796,video_swap,0.7333360910415649,0.7120211720466614,0.7880372405052185,0.26916003227233887
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,real,0.0,0.0,0.7567258477210999,0.0
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,identity,0.0,0.0,0.7567258477210999,0.0
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,gaze_swap,0.027207298204302788,0.04357149451971054,0.7592499852180481,0.002524137496948242
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,gaze_mask,0.11835604906082153,0.0714288055896759,0.7629221081733704,0.006196260452270508
